"country","tax","religion","free_election","state_aid","Army","civil_rights","women"
"Argentina","8","1","9","9","2","10","10"
"Argentina","5","3","9","6","2","7","1"
"Argentina","8","2","10","9","2","10","10"
"Argentina","10","5","10","10","1","10","10"
"Argentina","5","3","10","7","1","10","9"
"Argentina","8","7","9","8","3","9","9"
"Argentina","6","8","8","8","6","8","9"
"Argentina","4","8","10","3","1","7","8"
"Argentina","9","8","9","8","2","8","9"
"Argentina","8","10","10","5","1","10","9"
"Argentina","8","8","10","8","1","8","10"
"Argentina","9","9","10","9","5","9","10"
"Argentina","1","1","10","7","1","10","10"
"Argentina","8","8","10","7","3","10","10"
"Argentina","7","10","10","6","2","9","9"
"Argentina","6","10","10","8","2","7","10"
"Argentina","9","9","9","9","4","9","9"
"Argentina","7","8","10","7","4","8","9"
"Argentina","9","9","10","9","2","5","9"
"Argentina","6","9","9","8","3","9","10"
"Argentina","8","2","9","8","1","9","10"
"Argentina","10","1","10","10","1","10","10"
"Argentina","4","3","4","5","4","7","7"
"Argentina","5","3","1","1","10","1","1"
"Argentina","6","1","1","3","10","1","1"
"Argentina","7","2","10","10","1","5","10"
"Argentina","10","5","10","10","1","10","10"
"Argentina","7","4","10","6","2","6","7"
"Argentina","6","4","10","7","6","7","10"
"Argentina","10","10","10","10","9","10","9"
"Argentina","6","10","10","5","8","10","10"
"Argentina","3","6","7","4","7","7","9"
"Argentina","9","9","8","8","7","9","10"
"Argentina","5","1","10","4","1","5","10"
"Argentina","10","1","10","4","1","8","10"
"Argentina","8","1","10","10","1","10","10"
"Argentina","5","7","6","6","6","6","7"
"Argentina","5","4","4","4","5","4","5"
"Argentina","3","4","2","4","3","2","8"
"Argentina","3","4","4","3","3","4","4"
"Argentina","7","1","9","6","1","5","10"
"Argentina","3","8","10","3","4","10","10"
"Argentina","5","4","10","4","1","7","10"
"Argentina","7","1","10","8","1","8","10"
"Argentina","8","1","10","10","1","10","10"
"Argentina","5","1","10","5","1","10","10"
"Argentina","5","1","10","6","1","10","10"
"Argentina","5","1","10","10","1","10","10"
"Argentina","10","1","10","10","1","10","10"
"Argentina","7","3","8","8","1","7","10"
"Argentina","8","1","10","10","1","9","10"
"Argentina","8","6","9","8","3","8","10"
"Argentina","10","1","9","8","1","8","10"
"Argentina","10","1","10","10","1","10","10"
"Argentina","8","1","10","10","6","8","10"
"Argentina","6","6","7","7","6","6","10"
"Argentina","3","1","7","8","1","5","10"
"Argentina","10","10","10","10","1","10","10"
"Argentina","7","1","10","10","1","10","10"
"Argentina","7","4","10","10","1","9","10"
"Argentina","4","5","10","9","3","8","10"
"Argentina","9","5","9","9","3","9","8"
"Argentina","10","1","10","10","1","10","10"
"Argentina","8","1","8","5","1","10","10"
"Argentina","5","5","5","5","1","5","9"
"Argentina","9","2","9","6","1","8","10"
"Argentina","8","4","9","8","3","9","9"
"Argentina","8","3","10","10","1","8","10"
"Argentina","8","1","10","10","1","10","10"
"Argentina","7","1","9","9","1","7","10"
"Argentina","5","1","10","8","1","10","10"
"Argentina","6","6","7","8","5","7","5"
"Argentina","7","6","5","7","6","5","8"
"Argentina","7","5","10","10","5","10","10"
"Argentina","5","5","5","5","1","5","10"
"Argentina","1","1","10","5","1","10","10"
"Argentina","1","1","10","3","1","10","10"
"Argentina","4","1","10","4","1","10","10"
"Argentina","6","1","10","1","1","10","10"
"Argentina","10","1","10","10","1","10","10"
"Argentina","9","1","10","10","1","10","10"
"Argentina","4","4","10","5","1","5","10"
"Argentina","7","1","10","7","1","10","10"
"Argentina","9","1","9","10","1","7","10"
"Argentina","2","7","7","3","6","7","8"
"Argentina","8","1","10","8","1","10","10"
"Argentina","3","1","10","3","1","10","10"
"Argentina","7","3","10","8","1","10","10"
"Argentina","6","1","10","10","1","10","10"
"Argentina","5","1","10","7","1","10","10"
"Argentina","3","3","10","5","1","10","10"
"Argentina","7","1","10","8","1","8","10"
"Argentina","7","3","10","7","1","7","10"
"Argentina","4","4","10","3","1","10","10"
