"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-248925.77651144,22770,498393.473689096,498221.863513911,498447.473689096,117443.252990708,"-","1","-","-","-","-"
"model 2",-233802.32646804,22715,468698.529836406,468352.131519829,468807.529836406,87196.3529039093,"0.815","0.45","0.55","-","-","-"
"model 3",-229534.021087399,22660,460713.875309233,460192.688851264,460877.875309233,78659.7421426277,"0.772","0.469","0.36","0.171","-","-"
"model 4",-227273.183329776,22605,456744.156028096,456048.181428735,456963.156028096,74138.0666273809,"0.751","0.152","0.182","0.273","0.394","-"
"model 5",-225807.124481715,22550,454363.994566083,453493.23182533,454637.994566083,71205.9489312594,"0.752","0.383","0.255","0.171","0.13","0.062"
"model 6",-224729.176108009,22495,452760.054052779,451714.503170634,453089.054052779,69050.0521838463,"0.729",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
