model,log-likelihood,resid_df,BIC,ABIC,cAIC,likelihood-ratio,Entropy,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Class16,Class17,Class18,Class19,Class20,Class21,Class22,Class23,Class24,Class25
model 1,-771758.6312,40330,1544471.9,1544185.879,1544561.9,735351.1729,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
model 2,-717794.1524,40239,1437508.186,1436932.967,1437689.186,627422.2154,0.872,0.489,0.511,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
model 3,-700677.5694,40148,1404240.265,1403375.847,1404512.265,593189.0493,0.847,0.417,0.387,0.196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
model 4,-692588.247,40057,1389026.864,1387873.249,1389389.864,577010.4047,0.825,0.247,0.233,0.146,0.373,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
model 5,-686629.1083,39966,1378073.831,1376631.017,1378527.831,565092.1272,0.825,0.249,0.06,0.216,0.134,0.341,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
model 6,-682259.4993,39875,1370299.857,1368567.845,1370844.857,556352.9092,0.808,0.195,0.214,0.057,0.253,0.189,0.091,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
model 7,-678534.0999,39784,1363814.303,1361793.092,1364450.303,548902.1104,0.801,0.183,0.185,0.162,0.056,0.139,0.196,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
model 8,-675486.9503,39693,1358685.248,1356374.839,1359412.248,542807.8112,0.803,0.116,0.192,0.179,0.088,0.023,0.184,0.054,0.163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
model 9,-672744.6802,39602,1354165.952,1351566.344,1354983.952,537323.2709,0.802,0.174,0.181,0.076,0.088,0.024,0.177,0.058,0.05,0.172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
model 10,-671302.5522,39511,1352246.94,1349358.134,1353155.94,534439.0151,0.793,0.012,0.175,0.06,0.077,0.036,0.046,0.172,0.082,0.168,0.172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
model 11,-669869.6132,39420,1350346.306,1347168.302,1351346.306,531573.1369,0.785,0.148,0.043,0.077,0.037,0.097,0.012,0.16,0.064,0.057,0.153,0.153,-,-,-,-,-,-,-,-,-,-,-,-,-,-
model 12,-668582.3631,39329,1348737.05,1345269.848,1349828.05,528998.6367,0.781,0.096,0.04,0.037,0.152,0.159,0.043,0.099,0.105,0.057,0.052,0.011,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-
model 13,-667438.6526,39238,1347414.874,1343658.473,1348596.874,526711.2157,0.788,0.05,0.106,0.045,0.057,0.125,0.104,0.045,0.035,0.148,0.032,0.152,0.092,0.01,-,-,-,-,-,-,-,-,-,-,-,-
model 14,-666445,39147,1346392.813,1342347.213,1347665.813,524723.9106,0.757,0.049,0.056,0.15,0.032,0.032,0.042,0.145,0.107,0.011,0.035,0.086,0.034,0.122,0.101,-,-,-,-,-,-,-,-,-,-,-
model 15,-665582.632,39056,1345633.321,1341298.523,1346997.321,522999.1746,0.746,0.037,0.011,0.111,0.037,0.035,0.119,0.091,0.099,0.037,0.032,0.032,0.072,0.06,0.093,0.136,-,-,-,-,-,-,-,-,-,-
model 16,-664688.927,38965,1344811.155,1340187.159,1346266.155,521211.7646,0.745,0.031,0.029,0.085,0.041,0.121,0.026,0.032,0.133,0.081,0.037,0.011,0.022,0.067,0.063,0.094,0.128,-,-,-,-,-,-,-,-,-
model 17,-664043.0457,38874,1344484.637,1339571.442,1346030.637,519920.002,0.734,0.03,0.038,0.081,0.034,0.037,0.029,0.034,0.066,0.02,0.115,0.066,0.011,0.083,0.118,0.087,0.131,0.021,-,-,-,-,-,-,-,-
model 18,-663411.0787,38783,1344185.947,1338983.554,1345822.947,518656.068,0.729,0.01,0.033,0.114,0.021,0.116,0.074,0.064,0.035,0.034,0.08,0.128,0.065,0.042,0.029,0.034,0.02,0.088,0.013,-,-,-,-,-,-,-
model 19,-662855.7921,38692,1344040.618,1338549.027,1345768.618,517545.4948,0.805,0.128,0.015,0.032,0.044,0.037,0.01,0.055,0.107,0.019,0.028,0.079,0.033,0.064,0.05,0.087,0.066,0.029,0.103,0.012,-,-,-,-,-,-
model 20,-662298.4397,38601,1343891.158,1338110.368,1345710.158,516430.7899,0.745,0.019,0.1,0.058,0.023,0.027,0.033,0.076,0.059,0.07,0.032,0.041,0.03,0.01,0.044,0.019,0.013,0.122,0.066,0.079,0.076,-,-,-,-,-
model 21,-661793.8963,38510,1343847.315,1337777.327,1345757.315,515421.7032,0.755,0.014,0.014,0.073,0.03,0.1,0.123,0.078,0.061,0.026,0.055,0.011,0.017,0.065,0.048,0.056,0.035,0.077,0.023,0.017,0.034,0.045,-,-,-,-
model 22,-661277.9971,38419,1343780.761,1337421.575,1345781.761,514389.9048,0.754,0.03,0.054,0.018,0.069,0.01,0.026,0.086,0.054,0.044,0.01,0.043,0.076,0.021,0.016,0.074,0.039,0.032,0.075,0.11,0.066,0.029,0.019,-,-,-
model 23,-660832.3424,38328,1343854.696,1337206.311,1345946.696,513498.5954,0.723,0.049,0.044,0.052,0.02,0.029,0.01,0.023,0.083,0.007,0.025,0.042,0.013,0.074,0.017,0.042,0.077,0.066,0.065,0.016,0.029,0.057,0.109,0.049,-,-
model 24,-660416.0036,38237,1343987.263,1337049.679,1346170.263,512665.9177,0.754,0.054,0.065,0.029,0.01,0.023,0.045,0.018,0.11,0.052,0.035,0.043,0.009,0.068,0.034,0.031,0.088,0.01,0.017,0.043,0.014,0.057,0.056,0.012,0.076,-
model 25,-660051.9881,38146,1344224.476,1336997.694,1346498.476,511937.8868,0.766,0.01,0.011,0.009,0.036,0.016,0.031,0.031,0.055,0.028,0.05,0.062,0.065,0.014,0.053,0.046,0.038,0.02,0.094,0.021,0.052,0.059,0.069,0.034,0.084,0.01
